Event,Name,Team,Percent
M-100-BREASTSTROKE-LCM,"SHYMANOVICH, Ilya",BLR,40.0
M-100-BREASTSTROKE-LCM,"FINK, Nic",USA,26.0
M-100-BREASTSTROKE-LCM,"KAMMINGA, Arno",NED,9.0
M-100-BREASTSTROKE-LCM,"ANDREW, Michael",USA,6.0
M-100-BREASTSTROKE-LCM,"BORYSIK, Igor",UKR,6.0
M-100-BREASTSTROKE-LCM,"PEATY, Adam",GBR,5.0
M-100-BREASTSTROKE-LCM,"RICKARD, Brenton",AUS,4.0
M-100-BREASTSTROKE-LCM,"MARTINENGHI, Nicolo",ITA,3.0
M-100-BREASTSTROKE-LCM,"VAN DER BURGH, Cameron",RSA,1.0
M-100-BACKSTROKE-LCM,"KOLESNIKOV, Kliment",RUS,25.0
M-100-BACKSTROKE-LCM,"PLUMMER, David",USA,21.0
M-100-BACKSTROKE-LCM,"KOGA, Junya",JPN,14.0
M-100-BACKSTROKE-LCM,"LARKIN, Mitchell",AUS,9.0
M-100-BACKSTROKE-LCM,"MURPHY, Ryan",USA,9.0
M-100-BACKSTROKE-LCM,"PEIRSOL, Aaron",USA,9.0
M-100-BACKSTROKE-LCM,"MEEUW, Helge",GER,7.0
M-100-BACKSTROKE-LCM,"XU, Jiayu",CHN,6.0
F-800-FREESTYLE-LCM,"TITMUS, Ariarne",AUS,10.0
F-800-FREESTYLE-LCM,"POTEC, Camelia",ROU,9.0
F-800-FREESTYLE-LCM,"CARLIN, Jaz",GBR,8.0
F-800-FREESTYLE-LCM,"LI, Bingjie",CHN,8.0
F-800-FREESTYLE-LCM,"SMITH, Leah",USA,8.0
F-800-FREESTYLE-LCM,"FILIPPI, Alessia",ITA,7.0
F-800-FREESTYLE-LCM,"MELVERTON, Kiah",AUS,7.0
F-800-FREESTYLE-LCM,"FRIIS, Lotte",DEN,6.0
F-800-FREESTYLE-LCM,"QUADARELLA, Simona",ITA,6.0
F-800-FREESTYLE-LCM,"WANG, Jianjiahe",CHN,5.0
F-800-FREESTYLE-LCM,"ZIEGLER, Kate",USA,5.0
F-800-FREESTYLE-LCM,"BELMONTE, Mireia",ESP,4.0
F-800-FREESTYLE-LCM,"JACKSON, Joanne",GBR,4.0
F-800-FREESTYLE-LCM,"KOHLER, Sarah",GER,4.0
F-800-FREESTYLE-LCM,"ASHWOOD, Jessica",AUS,2.0
F-800-FREESTYLE-LCM,"BOYLE, Lauren",NZL,2.0
F-800-FREESTYLE-LCM,"EVANS, Janet",USA,2.0
F-800-FREESTYLE-LCM,"MANAUDOU, Laure",FRA,2.0
F-800-FREESTYLE-LCM,"KAPAS, Boglarka",HUN,1.0
F-50-FREESTYLE-LCM,"SJOESTROEM, Sarah",SWE,37.0
F-50-FREESTYLE-LCM,"ALSHAMMAR, Therese",SWE,19.0
F-50-FREESTYLE-LCM,"STEFFEN, Britta",GER,15.0
F-50-FREESTYLE-LCM,"LIU, Xiang",CHN,13.0
F-50-FREESTYLE-LCM,"CAMPBELL, Cate",AUS,8.0
F-50-FREESTYLE-LCM,"BLUME, Pernille",DEN,5.0
F-50-FREESTYLE-LCM,"MCKEON, Emma",AUS,3.0
F-400-MEDLEY-LCM,"ZHENG, Rongrong",CHN,20.0
F-400-MEDLEY-LCM,"COVENTRY, Kirsty",ZIM,12.0
F-400-MEDLEY-LCM,"HOFF, Katie",USA,11.0
F-400-MEDLEY-LCM,"DI RADO, Maya",USA,9.0
F-400-MEDLEY-LCM,"RICE, Stephanie",AUS,9.0
F-400-MEDLEY-LCM,"BELMONTE, Mireia",ESP,7.0
F-400-MEDLEY-LCM,"OHASHI, Yui",JPN,7.0
F-400-MEDLEY-LCM,"MCKEOWN, Kaylee",AUS,6.0
F-400-MEDLEY-LCM,"PICKREM, Sydney",CAN,6.0
F-400-MEDLEY-LCM,"YE, Shiwen",CHN,4.0
F-400-MEDLEY-LCM,"OVERHOLT, Emily",CAN,3.0
F-400-MEDLEY-LCM,"BEISEL, Elizabeth",USA,2.0
F-400-MEDLEY-LCM,"MILEY, Hannah",GBR,2.0
F-400-MEDLEY-LCM,"HOSSZU, Katinka",HUN,1.0
F-400-MEDLEY-LCM,"MARGALIS, Melanie",USA,1.0
F-400-FREESTYLE-LCM,"PELLEGRINI, Federica",ITA,15.0
F-400-FREESTYLE-LCM,"LI, Bingjie",CHN,14.0
F-400-FREESTYLE-LCM,"SCHMITT, Allison",USA,12.0
F-400-FREESTYLE-LCM,"KESELY, Ajna",HUN,9.0
F-400-FREESTYLE-LCM,"SMITH, Leah",USA,9.0
F-400-FREESTYLE-LCM,"MANAUDOU, Laure",FRA,8.0
F-400-FREESTYLE-LCM,"ADLINGTON, Rebecca",GBR,7.0
F-400-FREESTYLE-LCM,"MUFFAT, Camille",FRA,7.0
F-400-FREESTYLE-LCM,"JACKSON, Joanne",GBR,6.0
F-400-FREESTYLE-LCM,"KAPAS, Boglarka",HUN,5.0
F-400-FREESTYLE-LCM,"CARLIN, Jaz",GBR,4.0
F-400-FREESTYLE-LCM,"COSTA, Melani",ESP,4.0
F-200-MEDLEY-LCM,"BAKER, Kathleen",USA,30.0
F-200-MEDLEY-LCM,"COVENTRY, Kirsty",ZIM,18.0
F-200-MEDLEY-LCM,"MCKEOWN, Kaylee",AUS,18.0
F-200-MEDLEY-LCM,"KIM, Seoyeong",KOR,15.0
F-200-MEDLEY-LCM,"PICKREM, Sydney",CAN,8.0
F-200-MEDLEY-LCM,"WATANABE, Kanako",JPN,7.0
F-200-MEDLEY-LCM,"COX, Madisyn",USA,2.0
F-200-MEDLEY-LCM,"DI RADO, Maya",USA,2.0
F-200-FREESTYLE-LCM,"IKEE, Rikako",JPN,29.0
F-200-FREESTYLE-LCM,"PANG, Jiaying",CHN,16.0
F-200-FREESTYLE-LCM,"SJOESTROEM, Sarah",SWE,11.0
F-200-FREESTYLE-LCM,"TITMUS, Ariarne",AUS,8.0
F-200-FREESTYLE-LCM,"ISAKOVIC, Sara",SLO,7.0
F-200-FREESTYLE-LCM,"RUCK, Taylor",CAN,7.0
F-200-FREESTYLE-LCM,"YANG, Junxuan",CHN,7.0
F-200-FREESTYLE-LCM,"LEDECKY, Katie",USA,5.0
F-200-FREESTYLE-LCM,"SCHMITT, Allison",USA,5.0
F-200-FREESTYLE-LCM,"HAUGHEY, Siobhan",HKG,2.0
F-200-FREESTYLE-LCM,"MCKEON, Emma",AUS,2.0
F-200-FREESTYLE-LCM,"HAUGHEY, Siobhan Bernadette",HKG,1.0
F-200-BUTTERFLY-LCM,"THOMAS, Alys Margaret",GBR,44.0
F-200-BUTTERFLY-LCM,"GONG, Jie",CHN,22.0
F-200-BUTTERFLY-LCM,"GROVES, Madeline",AUS,7.0
F-200-BUTTERFLY-LCM,"GANDY, Ellen",GBR,6.0
F-200-BUTTERFLY-LCM,"HOSSZU, Katinka",HUN,5.0
F-200-BUTTERFLY-LCM,"BELMONTE, Mireia",ESP,4.0
F-200-BUTTERFLY-LCM,"HENTKE, Franziska",GER,4.0
F-200-BUTTERFLY-LCM,"HOSHI, Natsumi",JPN,3.0
F-200-BUTTERFLY-LCM,"JEDRZEJCZAK, Otylia",POL,2.0
F-200-BUTTERFLY-LCM,"MONGEL, Aurore",FRA,2.0
F-200-BUTTERFLY-LCM,"HYMAN, Misty",USA,1.0
F-200-BREASTSTROKE-LCM,"JONES, Leisel",AUS,24.0
F-200-BREASTSTROKE-LCM,"PIERSE, Annamay",CAN,12.0
F-200-BREASTSTROKE-LCM,"SCHOENMAKER, Tatjana",RSA,11.0
F-200-BREASTSTROKE-LCM,"RENSHAW, Molly",GBR,10.0
F-200-BREASTSTROKE-LCM,"WATANABE, Kanako",JPN,10.0
F-200-BREASTSTROKE-LCM,"CHIKUNOVA, Evgeniia",RUS,7.0
F-200-BREASTSTROKE-LCM,"LAZOR, Annie",USA,6.0
F-200-BREASTSTROKE-LCM,"SUZUKI, Satomi",JPN,6.0
F-200-BREASTSTROKE-LCM,"HIGL, Nadja",SRB,5.0
F-200-BREASTSTROKE-LCM,"KANETO, Rie",JPN,5.0
F-200-BREASTSTROKE-LCM,"AOKI, Reona",JPN,3.0
F-200-BREASTSTROKE-LCM,"WOOD, Abbie",GBR,1.0
F-200-BACKSTROKE-LCM,"ZHAO, Jing",CHN,21.0
F-200-BACKSTROKE-LCM,"HOELZER, Margaret",USA,20.0
F-200-BACKSTROKE-LCM,"WHITE, Rhyan Elizabeth",USA,10.0
F-200-BACKSTROKE-LCM,"MASSE, Kylie",CAN,8.0
F-200-BACKSTROKE-LCM,"PANZIERA, Margherita",ITA,8.0
F-200-BACKSTROKE-LCM,"BEISEL, Elizabeth",USA,6.0
F-200-BACKSTROKE-LCM,"DI RADO, Maya",USA,5.0
F-200-BACKSTROKE-LCM,"SEEBOHM, Emily",AUS,5.0
F-200-BACKSTROKE-LCM,"RUCK, Taylor",CAN,4.0
F-200-BACKSTROKE-LCM,"FESIKOVA, Anastasiia",RUS,3.0
F-200-BACKSTROKE-LCM,"HOSSZU, Katinka",HUN,3.0
F-200-BACKSTROKE-LCM,"ZUEVA, Anastasia",RUS,3.0
F-200-BACKSTROKE-LCM,"BAKER, Kathleen",USA,2.0
F-200-BACKSTROKE-LCM,"PELTON, Elizabeth",USA,2.0
F-1500-FREESTYLE-LCM,"CARLIN, Jaz",GBR,10.0
F-1500-FREESTYLE-LCM,"KAPAS, Boglarka",HUN,9.0
F-1500-FREESTYLE-LCM,"KOHLER, Sarah",GER,7.0
F-1500-FREESTYLE-LCM,"SULLIVAN, Erica",USA,7.0
F-1500-FREESTYLE-LCM,"WANG, Jianjiahe",CHN,7.0
F-1500-FREESTYLE-LCM,"GOUGH, Maddy",AUS,6.0
F-1500-FREESTYLE-LCM,"KIRPICHNIKOVA, Anastasiia",RUS,6.0
F-1500-FREESTYLE-LCM,"PIGNATIELLO, Delfina",ARG,5.0
F-1500-FREESTYLE-LCM,"POTEC, Camelia",ROU,5.0
F-1500-FREESTYLE-LCM,"TWICHELL, Ashley",USA,5.0
F-1500-FREESTYLE-LCM,"BELMONTE, Mireia",ESP,4.0
F-1500-FREESTYLE-LCM,"CARAMIGNOLI, Martina Rita",ITA,4.0
F-1500-FREESTYLE-LCM,"EVANS, Janet",USA,4.0
F-1500-FREESTYLE-LCM,"ZIEGLER, Kate",USA,4.0
F-1500-FREESTYLE-LCM,"RIGAMONTI, Flavia",SUI,3.0
F-1500-FREESTYLE-LCM,"ANDERSON, Haley",USA,2.0
F-1500-FREESTYLE-LCM,"ASHWOOD, Jessica",AUS,2.0
F-1500-FREESTYLE-LCM,"FILIPPI, Alessia",ITA,2.0
F-1500-FREESTYLE-LCM,"KESELY, Ajna",HUN,2.0
F-1500-FREESTYLE-LCM,"KOBRICH, Kristel",CHI,2.0
F-1500-FREESTYLE-LCM,"LI, Bingjie",CHN,2.0
F-1500-FREESTYLE-LCM,"PEIRSOL, Hayley",USA,2.0
F-100-FREESTYLE-LCM,"BLUME, Pernille",DEN,48.0
F-100-FREESTYLE-LCM,"LENTON, Libby",AUS,34.0
F-100-FREESTYLE-LCM,"OLEKSIAK, Penny",CAN,16.0
F-100-FREESTYLE-LCM,"COMERFORD, Mallory",USA,1.0
F-100-FREESTYLE-LCM,"HEEMSKERK, Femke",NED,1.0
F-100-BUTTERFLY-LCM,"LIU, Zige",CHN,40.0
F-100-BUTTERFLY-LCM,"HUSKE, Torri",USA,21.0
F-100-BUTTERFLY-LCM,"ZHANG, Yufei",CHN,20.0
F-100-BUTTERFLY-LCM,"MACNEIL, Margaret",CAN,9.0
F-100-BUTTERFLY-LCM,"SCHIPPER, Jess",AUS,6.0
F-100-BUTTERFLY-LCM,"IKEE, Rikako",JPN,2.0
F-100-BUTTERFLY-LCM,"MCKEON, Emma",AUS,1.0
F-100-BUTTERFLY-LCM,"VOLLMER, Dana",USA,1.0
F-100-BREASTSTROKE-LCM,"PIERSE, Annamay",CAN,55.0
F-100-BREASTSTROKE-LCM,"LAZOR, Annie",USA,39.0
F-100-BREASTSTROKE-LCM,"JACOBY, Lydia",USA,4.0
F-100-BREASTSTROKE-LCM,"HANSSON, Sophie",SWE,2.0
F-100-BACKSTROKE-LCM,"FRANKLIN, Missy",USA,34.0
F-100-BACKSTROKE-LCM,"SPOFFORTH, Gemma",GBR,33.0
F-100-BACKSTROKE-LCM,"ZUEVA, Anastasia",RUS,13.0
F-100-BACKSTROKE-LCM,"ATHERTON, Minna",AUS,7.0
F-100-BACKSTROKE-LCM,"SEEBOHM, Emily",AUS,7.0
F-100-BACKSTROKE-LCM,"SMOLIGA, Olivia",USA,3.0
F-100-BACKSTROKE-LCM,"HOSSZU, Katinka",HUN,1.0
F-100-BACKSTROKE-LCM,"RUSSELL, Sinead",CAN,1.0
F-100-BACKSTROKE-LCM,"WHITE, Rhyan Elizabeth",USA,1.0
